year,Date,C58157
2023,45130,28
2023,45131,6
2023,45132,1
2023,45133,4
2023,45134,0.5
2023,45135,1
2023,45136,2.5
2023,45137,10
2023,45138,12
2023,45139,6
2023,45140,16
2023,45141,1
2023,45142,3
2023,45143,9
2023,45144,16
2023,45145,0
2023,45146,10
2023,45147,0
2023,45148,0
2023,45149,5
2023,45150,1
2023,45151,0
2023,45152,0
2023,45153,0
2023,45154,0
2023,45155,0
2023,45156,0
2023,45157,0
2023,45158,0
2023,45159,0
2023,45160,0
2023,45161,0
2023,45162,1
2023,45163,19
2023,45164,5
2023,45165,8
2023,45166,1
2023,45167,0
2023,45168,5
2023,45169,2
2023,45170,28
2023,45171,0
2023,45172,0
2023,45173,0
2023,45174,0
2023,45175,0
2023,45176,0
2023,45177,0
2023,45178,0
2023,45179,0
2023,45180,8
2023,45181,3
2023,45182,0
2023,45183,0
2023,45184,0
2023,45185,3
2023,45186,0
2023,45187,5
2023,45188,0
2023,45189,19
2023,45190,16
2023,45191,0
2023,45192,0.03
2023,45193,0.01
2023,45194,0.02
2023,45195,0
2023,45196,0.02
2023,45197,0
2023,45198,1.81
2023,45199,0.04
2023,45200,0.02
2023,45201,
2023,45202,
2023,45203,
2023,45204,
2023,45205,
